    PID CMD
   3003 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 26426 -prefMapSize 252503 -jsInitLen 234852 -parentBuildID 20240819223648 -greomni /snap/firefox/4793/usr/lib/firefox/omni.ja -appomni /snap/firefox/4793/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4793/usr/lib/firefox/browser {05612ec0-4479-4f29-81ea-92fd205d3aed} 2557 true tab
   3640 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 31380 -prefMapSize 252503 -jsInitLen 234852 -parentBuildID 20240819223648 -greomni /snap/firefox/4793/usr/lib/firefox/omni.ja -appomni /snap/firefox/4793/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4793/usr/lib/firefox/browser {2b737b66-6c10-4464-9b93-2b328c0afb7f} 2557 true tab
   3839 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 31432 -prefMapSize 252503 -jsInitLen 234852 -parentBuildID 20240819223648 -greomni /snap/firefox/4793/usr/lib/firefox/omni.ja -appomni /snap/firefox/4793/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4793/usr/lib/firefox/browser {c93d9020-bb7c-4201-b216-3ca6cf11e1e9} 2557 true tab
   2888 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -parentBuildID 20240819223648 -prefsLen 29579 -prefMapSize 252503 -appDir /snap/firefox/4793/usr/lib/firefox/browser {3b2a353b-5e8b-41c7-8fe3-2dc2456c1c65} 2557 true socket
   3632 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -parentBuildID 20240819223648 -sandboxingKind 0 -prefsLen 35438 -prefMapSize 252503 -appDir /snap/firefox/4793/usr/lib/firefox/browser {5fc98f30-fa2b-4186-ba47-e3d991f1939f} 2557 true utility
   1960 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   2153 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   1867 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1636 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2438 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   1982 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1631 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   1852 /usr/bin/gnome-shell
   2008 /usr/bin/ibus-daemon --panel disable
   3928 /usr/bin/nautilus --gapplication-service
   1619 /usr/bin/pipewire
   1620 /usr/bin/pipewire -c filter-chain.conf
   1625 /usr/bin/pipewire-pulse
   1041 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   3093 /usr/bin/snap userd
   3681 /usr/bin/update-notifier
   1623 /usr/bin/wireplumber
   3955 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.AEYTS2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
    785 /usr/libexec/accounts-daemon
   1917 /usr/libexec/at-spi2-registryd --use-gnome-session
   1857 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1242 /usr/libexec/colord
   1940 /usr/libexec/dconf-service
   2306 /usr/libexec/evolution-addressbook-factory
   2237 /usr/libexec/evolution-calendar-factory
   2067 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1942 /usr/libexec/evolution-source-registry
   1957 /usr/libexec/fwupd/fwupd
   1783 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   1678 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    762 /usr/libexec/gnome-remote-desktop-daemon --system
   1683 /usr/libexec/gnome-session-binary --session=ubuntu
   1810 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1785 /usr/libexec/gnome-session-ctl --monitor
   1933 /usr/libexec/gnome-shell-calendar-server
   4087 /usr/libexec/gnome-terminal-server
   2078 /usr/libexec/goa-daemon
   2239 /usr/libexec/goa-identity-service
   2009 /usr/libexec/gsd-a11y-settings
   2017 /usr/libexec/gsd-color
   2020 /usr/libexec/gsd-datetime
   2113 /usr/libexec/gsd-disk-utility-notify
   2022 /usr/libexec/gsd-housekeeping
   2023 /usr/libexec/gsd-keyboard
   2025 /usr/libexec/gsd-media-keys
   2029 /usr/libexec/gsd-power
   2216 /usr/libexec/gsd-printer
   2034 /usr/libexec/gsd-print-notifications
   2036 /usr/libexec/gsd-rfkill
   2076 /usr/libexec/gsd-screensaver-proxy
   2080 /usr/libexec/gsd-sharing
   2088 /usr/libexec/gsd-smartcard
   2096 /usr/libexec/gsd-sound
   2099 /usr/libexec/gsd-wacom
   3964 /usr/libexec/gsd-xsettings
   2313 /usr/libexec/gvfs-afc-volume-monitor
   1796 /usr/libexec/gvfsd
   1807 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2558 /usr/libexec/gvfsd-metadata
   4036 /usr/libexec/gvfsd-recent --spawner :1.19 /org/gtk/gvfs/exec_spaw/1
   2399 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
   2292 /usr/libexec/gvfs-goa-volume-monitor
   2305 /usr/libexec/gvfs-gphoto2-volume-monitor
   2323 /usr/libexec/gvfs-mtp-volume-monitor
   2199 /usr/libexec/gvfs-udisks2-volume-monitor
   2232 /usr/libexec/ibus-dconf
   2347 /usr/libexec/ibus-engine-simple
   2236 /usr/libexec/ibus-extension-gtk3
   2249 /usr/libexec/ibus-portal
   3992 /usr/libexec/ibus-x11
   3998 /usr/libexec/mutter-x11-frames
    771 /usr/libexec/power-profiles-daemon
   1142 /usr/libexec/rtkit-daemon
    800 /usr/libexec/switcheroo-control
   2496 /usr/libexec/tracker-miner-fs-3
    803 /usr/libexec/udisks2/udisksd
   1323 /usr/libexec/upowerd
   2426 /usr/libexec/xdg-desktop-portal
   2497 /usr/libexec/xdg-desktop-portal-gnome
   2548 /usr/libexec/xdg-desktop-portal-gtk
   1673 /usr/libexec/xdg-document-portal
   1708 /usr/libexec/xdg-permission-store
    768 /usr/lib/polkit-1/polkitd --no-debug
    783 /usr/lib/snapd/snapd
    358 /usr/lib/systemd/systemd-journald
    784 /usr/lib/systemd/systemd-logind
    565 /usr/lib/systemd/systemd-oomd
    568 /usr/lib/systemd/systemd-resolved
    576 /usr/lib/systemd/systemd-timesyncd
    412 /usr/lib/systemd/systemd-udevd
   1602 /usr/lib/systemd/systemd --user
    797 /usr/sbin/cron -f -P
   1054 /usr/sbin/cups-browsed
   1033 /usr/sbin/cupsd -l
   1069 /usr/sbin/gdm3
   1065 /usr/sbin/kerneloops
   1056 /usr/sbin/kerneloops --test
    886 /usr/sbin/ModemManager
    824 /usr/sbin/NetworkManager --no-daemon
    827 /usr/sbin/rsyslogd -n -iNONE
    826 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     49 [watchdogd]
